Class,Count_r0,Correct_r0,Accuracy_r0,Count_r1,Correct_r1,Accuracy_r1,Count_r2,Correct_r2,Accuracy_r2,Count_r3,Correct_r3,Accuracy_r3,Count_r4,Correct_r4,Accuracy_r4,Count_r5,Correct_r5,Accuracy_r5,Count_r6,Correct_r6,Accuracy_r6,Count_r7,Correct_r7,Accuracy_r7,Count_r8,Correct_r8,Accuracy_r8,Count_r9,Correct_r9,Accuracy_r9
thorn_apple,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
tiger_lily,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
tithonia,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
toad_lily,10,9,0.9,10,10,1,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
tree_mallow,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
tree_poppy,10,9,0.9,10,8,0.8,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
trumpet_creeper,10,6,0.6,10,7,0.7,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
wallflower,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5,10,5,0.5
water_lily,10,8,0.8,10,9,0.9,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
watercress,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
wild_pansy,10,8,0.8,10,9,0.9,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
windflower,10,10,1,10,9,0.9,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
yellow_iris,10,10,1,10,8,0.8,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
